"party","counter_party","notional","party_notional","cp_share_pct","party_market_share_pct"
"Rakuten Securities","Jump Trading",4659729699,11881774310,39.22,0.76
"Rakuten Securities","LMAX Broker 2",2748600060,11881774310,23.13,0.76
"Rakuten Securities","Virtu",2070021790,11881774310,17.42,0.76
"Rakuten Securities","Hudson River Trading",1173589556,11881774310,9.88,0.76
"Rakuten Securities","Nomura",923280051,11881774310,7.77,0.76
"Rakuten Securities","UBS",89815008,11881774310,0.76,0.76
"Rakuten Securities","ANZ",73695276,11881774310,0.6202,0.76
"Rakuten Securities","Commerzbank",64283634,11881774310,0.54,0.76
"Rakuten Securities","Citadel",63783473,11881774310,0.54,0.76
"Rakuten Securities","Jane Street",13615777,11881774310,0.11,0.76
"Rakuten Securities","LMAX Broker",740279,11881774310,0.0062,0.76
"Rakuten Securities","Barclays EB",539524,11881774310,0.0045,0.76
"Rakuten Securities","YJFX",80183,11881774310,0.0007,0.76
"ABN POP","Jump Trading",40541973,101036243,40.13,0.0065
"ABN POP","Commerzbank",20463013,101036243,20.25,0.0065
"ABN POP","Hudson River Trading",14288988,101036243,14.14,0.0065
"ABN POP","Jane Street",5656042,101036243,5.6,0.0065
"ABN POP","Virtu",4921003,101036243,4.87,0.0065
"ABN POP","Henning Carey",2560926,101036243,2.53,0.0065
"ABN POP","XTX Markets",2100290,101036243,2.08,0.0065
"ABN POP","LMAX Broker 2",1791850,101036243,1.77,0.0065
"ABN POP","Flow Traders BV",1658640,101036243,1.64,0.0065
"ABN POP","HRP PoP",1304530,101036243,1.29,0.0065
"ABN POP","UBS",992404,101036243,0.98,0.0065
"ABN POP","Goldman Sachs",817567,101036243,0.8092,0.0065
"ABN POP","LMAX Broker",799515,101036243,0.79,0.0065
"ABN POP","White Oak",727143,101036243,0.72,0.0065
"ABN POP","Royal Bank of Canada London",615900,101036243,0.6096,0.0065
"ABN POP","TFS Derivatives - RBPB",498356,101036243,0.49,0.0065
"ABN POP","Citadel",313625,101036243,0.3104,0.0065
"ABN POP","ANZ",313634,101036243,0.3104,0.0065
"ABN POP","Nomura",281714,101036243,0.28,0.0065
"ABN POP","Standard Chartered Bank",181481,101036243,0.18,0.0065
"ABN POP","Barclays EB",127092,101036243,0.13,0.0065
"ABN POP","Equiti Capital",80557,101036243,0.08,0.0065
"Alpfin - RBPB","Jump Trading",1221512266,3331036140,36.67,0.21
"Alpfin - RBPB","Hudson River Trading",582138519,3331036140,17.48,0.21
"Alpfin - RBPB","Jane Street",333423605,3331036140,10.01,0.21
"Alpfin - RBPB","XTX Markets",287766136,3331036140,8.64,0.21
"Alpfin - RBPB","Nomura",241478861,3331036140,7.25,0.21
"Alpfin - RBPB","LMAX Broker 2",196115951,3331036140,5.89,0.21
"Alpfin - RBPB","Flow Traders BV",147720143,3331036140,4.43,0.21
"Alpfin - RBPB","Commerzbank",141003750,3331036140,4.23,0.21
"Alpfin - RBPB","UBS",98527868,3331036140,2.96,0.21
"Alpfin - RBPB","ANZ",24985768,3331036140,0.7501,0.21
"Alpfin - RBPB","NatWest Markets",16770487,3331036140,0.5035,0.21
"Alpfin - RBPB","Citadel",11936329,3331036140,0.36,0.21
"Alpfin - RBPB","Goldman Sachs",4876212,3331036140,0.15,0.21
"Alpfin - RBPB","Virtu",3967675,3331036140,0.12,0.21
"Alpfin - RBPB","HRP PoP",3262513,3331036140,0.098,0.21
"Alpfin - RBPB","Société Générale",2254843,3331036140,0.068,0.21
"Alpfin - RBPB","TFS Derivatives - RBPB",2015571,3331036140,0.0605,0.21
"Alpfin - RBPB","Gain Global Markets",1684368,3331036140,0.0506,0.21
"Alpfin - RBPB","Tower Research",1680259,3331036140,0.0504,0.21
"Alpfin - RBPB","LMAX Broker",1440102,3331036140,0.043,0.21
"Alpfin - RBPB","BNP Paribas",1199592,3331036140,0.036,0.21
"Alpfin - RBPB","KGI Securities",1001251,3331036140,0.0301,0.21
"Alpfin - RBPB","Nordea EB",997170,3331036140,0.03,0.21
"Alpfin - RBPB","Credit Agricole",716230,3331036140,0.022,0.21
"Alpfin - RBPB","Wells Fargo",700876,3331036140,0.021,0.21
"Alpfin - RBPB","MFP Trading",520130,3331036140,0.016,0.21
"Alpfin - RBPB","JP Morgan",504805,3331036140,0.015,0.21
"Alpfin - RBPB","Britannia Global Markets",499260,3331036140,0.015,0.21
"Alpfin - RBPB","Solid Trading",116215,3331036140,0.0035,0.21
"Alpfin - RBPB","Sharada",103627,3331036140,0.0031,0.21
